ApostleStrength,DrillStrength(%),LP_GOLD_RING,CostOfGold,CostOfRing,YielfOfGold,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,14,240,138.56,415.69,0.16,0.06,0.41,21.48
1.1649,14,250,144.34,433.01,0.16,0.06,0.4,20.62
1.1649,14,260,150.11,450.33,0.16,0.05,0.38,19.83
1.1649,14,270,155.88,467.65,0.16,0.05,0.37,19.09
1.1649,14,280,161.66,484.97,0.16,0.05,0.35,18.41
1.1649,14,290,167.43,502.29,0.16,0.05,0.34,17.78
1.1649,14,300,173.21,519.62,0.16,0.05,0.33,17.18
1.1649,14,310,178.98,536.94,0.16,0.05,0.32,16.63
1.1649,14,320,184.75,554.26,0.16,0.04,0.31,16.11
1.1649,14,330,190.53,571.58,0.16,0.04,0.3,15.62
1.1649,14,340,196.3,588.9,0.16,0.04,0.29,15.16
1.1649,14,350,202.07,606.22,0.16,0.04,0.28,14.73
1.1649,14,360,207.85,623.54,0.16,0.04,0.27,14.32
1.1649,14,370,213.62,640.86,0.16,0.04,0.27,13.93
1.1649,14,380,219.39,658.18,0.16,0.04,0.26,13.57
1.1649,14,390,225.17,675.5,0.16,0.04,0.25,13.22
1.1649,14,400,230.94,692.82,0.16,0.04,0.25,12.89
1.1649,14,410,236.71,710.14,0.16,0.03,0.24,12.57
1.1649,14,420,242.49,727.46,0.16,0.03,0.24,12.27
1.1649,14,430,248.26,744.78,0.16,0.03,0.23,11.99
1.1649,14,440,254.03,762.1,0.16,0.03,0.22,11.72
1.1649,14,450,259.81,779.42,0.16,0.03,0.22,11.46
1.1649,14,460,265.58,796.74,0.16,0.03,0.21,11.21
1.1649,14,470,271.35,814.06,0.16,0.03,0.21,10.97
1.1649,14,480,277.13,831.38,0.16,0.03,0.21,10.74
1.1649,14,490,282.9,848.7,0.16,0.03,0.2,10.52
1.1649,14,500,288.68,866.03,0.16,0.03,0.2,10.31
1.1649,14,510,294.45,883.35,0.16,0.03,0.19,10.11
1.1649,14,520,300.22,900.67,0.16,0.03,0.19,9.91
1.1649,14,530,306.0,917.99,0.16,0.03,0.19,9.73
1.1649,14,540,311.77,935.31,0.16,0.03,0.18,9.55
1.1649,15,50,28.87,86.6,0.17,0.3,2.12,110.47
1.1649,15,60,34.64,103.92,0.17,0.25,1.77,92.06
1.1649,15,70,40.41,121.24,0.17,0.22,1.51,78.91
1.1649,15,80,46.19,138.56,0.17,0.19,1.32,69.04
1.1649,15,90,51.96,155.88,0.17,0.17,1.18,61.37
1.1649,15,100,57.74,173.21,0.17,0.15,1.06,55.23
1.1649,15,110,63.51,190.53,0.17,0.14,0.96,50.21
1.1649,15,120,69.28,207.85,0.17,0.13,0.88,46.03
1.1649,15,130,75.06,225.17,0.17,0.12,0.81,42.49
1.1649,15,140,80.83,242.49,0.17,0.11,0.76,39.45
1.1649,15,150,86.6,259.81,0.17,0.1,0.71,36.82
1.1649,15,160,92.38,277.13,0.17,0.09,0.66,34.52
1.1649,15,170,98.15,294.45,0.17,0.09,0.62,32.49
1.1649,15,180,103.92,311.77,0.17,0.08,0.59,30.69
1.1649,15,190,109.7,329.09,0.17,0.08,0.56,29.07
1.1649,15,200,115.47,346.41,0.17,0.08,0.53,27.62
1.1649,15,210,121.24,363.73,0.17,0.07,0.5,26.3
1.1649,15,220,127.02,381.05,0.17,0.07,0.48,25.11
1.1649,15,230,132.79,398.37,0.17,0.07,0.46,24.01
1.1649,15,240,138.56,415.69,0.17,0.06,0.44,23.01
1.1649,15,250,144.34,433.01,0.17,0.06,0.42,22.09
1.1649,15,260,150.11,450.33,0.17,0.06,0.41,21.24
1.1649,15,270,155.88,467.65,0.17,0.06,0.39,20.46
1.1649,15,280,161.66,484.97,0.17,0.05,0.38,19.73
1.1649,15,290,167.43,502.29,0.17,0.05,0.37,19.05
1.1649,15,300,173.21,519.62,0.17,0.05,0.35,18.41
1.1649,15,310,178.98,536.94,0.17,0.05,0.34,17.82
1.1649,15,320,184.75,554.26,0.17,0.05,0.33,17.26
1.1649,15,330,190.53,571.58,0.17,0.05,0.32,16.74
1.1649,15,340,196.3,588.9,0.17,0.04,0.31,16.25
1.1649,15,350,202.07,606.22,0.17,0.04,0.3,15.78
1.1649,15,360,207.85,623.54,0.17,0.04,0.29,15.34
1.1649,15,370,213.62,640.86,0.17,0.04,0.29,14.93
1.1649,15,380,219.39,658.18,0.17,0.04,0.28,14.54
1.1649,15,390,225.17,675.5,0.17,0.04,0.27,14.16
1.1649,15,400,230.94,692.82,0.17,0.04,0.26,13.81
1.1649,15,410,236.71,710.14,0.17,0.04,0.26,13.47
1.1649,15,420,242.49,727.46,0.17,0.04,0.25,13.15
1.1649,15,430,248.26,744.78,0.17,0.04,0.25,12.85
1.1649,15,440,254.03,762.1,0.17,0.03,0.24,12.55
1.1649,15,450,259.81,779.42,0.17,0.03,0.24,12.27
1.1649,15,460,265.58,796.74,0.17,0.03,0.23,12.01
1.1649,15,470,271.35,814.06,0.17,0.03,0.23,11.75
1.1649,15,480,277.13,831.38,0.17,0.03,0.22,11.51
1.1649,15,490,282.9,848.7,0.17,0.03,0.22,11.27
1.1649,15,500,288.68,866.03,0.17,0.03,0.21,11.05
1.1649,15,510,294.45,883.35,0.17,0.03,0.21,10.83
1.1649,15,520,300.22,900.67,0.17,0.03,0.2,10.62
1.1649,15,530,306.0,917.99,0.17,0.03,0.2,10.42
1.1649,15,540,311.77,935.31,0.17,0.03,0.2,10.23
1.1649,16,50,28.87,86.6,0.19,0.32,2.26,117.83
1.1649,16,60,34.64,103.92,0.19,0.27,1.88,98.19
1.1649,16,70,40.41,121.24,0.19,0.23,1.61,84.17
1.1649,16,80,46.19,138.56,0.19,0.2,1.41,73.64
1.1649,16,90,51.96,155.88,0.19,0.18,1.26,65.46
1.1649,16,100,57.74,173.21,0.19,0.16,1.13,58.92
1.1649,16,110,63.51,190.53,0.19,0.15,1.03,53.56
1.1649,16,120,69.28,207.85,0.19,0.13,0.94,49.1
1.1649,16,130,75.06,225.17,0.19,0.12,0.87,45.32
1.1649,16,140,80.83,242.49,0.19,0.12,0.81,42.08
1.1649,16,150,86.6,259.81,0.19,0.11,0.75,39.28
1.1649,16,160,92.38,277.13,0.19,0.1,0.71,36.82
1.1649,16,170,98.15,294.45,0.19,0.09,0.66,34.66
1.1649,16,180,103.92,311.77,0.19,0.09,0.63,32.73
1.1649,16,190,109.7,329.09,0.19,0.08,0.59,31.01
1.1649,16,200,115.47,346.41,0.19,0.08,0.56,29.46
1.1649,16,210,121.24,363.73,0.19,0.08,0.54,28.06
1.1649,16,220,127.02,381.05,0.19,0.07,0.51,26.78
1.1649,16,230,132.79,398.37,0.19,0.07,0.49,25.62
1.1649,16,240,138.56,415.69,0.19,0.07,0.47,24.55
1.1649,16,250,144.34,433.01,0.19,0.06,0.45,23.57
1.1649,16,260,150.11,450.33,0.19,0.06,0.43,22.66
1.1649,16,270,155.88,467.65,0.19,0.06,0.42,21.82
1.1649,16,280,161.66,484.97,0.19,0.06,0.4,21.04
1.1649,16,290,167.43,502.29,0.19,0.06,0.39,20.32
1.1649,16,300,173.21,519.62,0.19,0.05,0.38,19.64
1.1649,16,310,178.98,536.94,0.19,0.05,0.36,19.01
1.1649,16,320,184.75,554.26,0.19,0.05,0.35,18.41
1.1649,16,330,190.53,571.58,0.19,0.05,0.34,17.85
1.1649,16,340,196.3,588.9,0.19,0.05,0.33,17.33
1.1649,16,350,202.07,606.22,0.19,0.05,0.32,16.83
1.1649,16,360,207.85,623.54,0.19,0.04,0.31,16.37
1.1649,16,370,213.62,640.86,0.19,0.04,0.31,15.92
1.1649,16,380,219.39,658.18,0.19,0.04,0.3,15.5
1.1649,16,390,225.17,675.5,0.19,0.04,0.29,15.11
1.1649,16,400,230.94,692.82,0.19,0.04,0.28,14.73
1.1649,16,410,236.71,710.14,0.19,0.04,0.28,14.37
1.1649,16,420,242.49,727.46,0.19,0.04,0.27,14.03
1.1649,16,430,248.26,744.78,0.19,0.04,0.26,13.7
1.1649,16,440,254.03,762.1,0.19,0.04,0.26,13.39
1.1649,16,450,259.81,779.42,0.19,0.04,0.25,13.09
1.1649,16,460,265.58,796.74,0.19,0.04,0.25,12.81
1.1649,16,470,271.35,814.06,0.19,0.03,0.24,12.54
1.1649,16,480,277.13,831.38,0.19,0.03,0.24,12.27
1.1649,16,490,282.9,848.7,0.19,0.03,0.23,12.02
1.1649,16,500,288.68,866.03,0.19,0.03,0.23,11.78
1.1649,16,510,294.45,883.35,0.19,0.03,0.22,11.55
1.1649,16,520,300.22,900.67,0.19,0.03,0.22,11.33
1.1649,16,530,306.0,917.99,0.19,0.03,0.21,11.12
1.1649,16,540,311.77,935.31,0.19,0.03,0.21,10.91
1.1649,17,50,28.87,86.6,0.2,0.34,2.4,125.2
1.1649,17,60,34.64,103.92,0.2,0.29,2.0,104.33
1.1649,17,70,40.41,121.24,0.2,0.25,1.72,89.43
1.1649,17,80,46.19,138.56,0.2,0.21,1.5,78.25
1.1649,17,90,51.96,155.88,0.2,0.19,1.33,69.55
1.1649,17,100,57.74,173.21,0.2,0.17,1.2,62.6
1.1649,17,110,63.51,190.53,0.2,0.16,1.09,56.91
1.1649,17,120,69.28,207.85,0.2,0.14,1.0,52.17
1.1649,17,130,75.06,225.17,0.2,0.13,0.92,48.15
1.1649,17,140,80.83,242.49,0.2,0.12,0.86,44.71
1.1649,17,150,86.6,259.81,0.2,0.11,0.8,41.73
1.1649,17,160,92.38,277.13,0.2,0.11,0.75,39.12
1.1649,17,170,98.15,294.45,0.2,0.1,0.71,36.82
1.1649,17,180,103.92,311.77,0.2,0.1,0.67,34.78
1.1649,17,190,109.7,329.09,0.2,0.09,0.63,32.95
1.1649,17,200,115.47,346.41,0.2,0.09,0.6,31.3
1.1649,17,210,121.24,363.73,0.2,0.08,0.57,29.81
1.1649,17,220,127.02,381.05,0.2,0.08,0.55,28.45
1.1649,17,230,132.79,398.37,0.2,0.07,0.52,27.22
1.1649,17,240,138.56,415.69,0.2,0.07,0.5,26.08
1.1649,17,250,144.34,433.01,0.2,0.07,0.48,25.04
1.1649,17,260,150.11,450.33,0.2,0.07,0.46,24.08
1.1649,17,270,155.88,467.65,0.2,0.06,0.44,23.18
1.1649,17,280,161.66,484.97,0.2,0.06,0.43,22.36
1.1649,17,290,167.43,502.29,0.2,0.06,0.41,21.59
1.1649,17,300,173.21,519.62,0.2,0.06,0.4,20.87
1.1649,17,310,178.98,536.94,0.2,0.06,0.39,20.19
1.1649,17,320,184.75,554.26,0.2,0.05,0.38,19.56
1.1649,17,330,190.53,571.58,0.2,0.05,0.36,18.97
1.1649,17,340,196.3,588.9,0.2,0.05,0.35,18.41
1.1649,17,350,202.07,606.22,0.2,0.05,0.34,17.89
1.1649,17,360,207.85,623.54,0.2,0.05,0.33,17.39
1.1649,17,370,213.62,640.86,0.2,0.05,0.32,16.92
1.1649,17,380,219.39,658.18,0.2,0.05,0.32,16.47
1.1649,17,390,225.17,675.5,0.2,0.04,0.31,16.05
1.1649,17,400,230.94,692.82,0.2,0.04,0.3,15.65
1.1649,17,410,236.71,710.14,0.2,0.04,0.29,15.27
1.1649,17,420,242.49,727.46,0.2,0.04,0.29,14.9
1.1649,17,430,248.26,744.78,0.2,0.04,0.28,14.56
1.1649,17,440,254.03,762.1,0.2,0.04,0.27,14.23
1.1649,17,450,259.81,779.42,0.2,0.04,0.27,13.91
1.1649,17,460,265.58,796.74,0.2,0.04,0.26,13.61
1.1649,17,470,271.35,814.06,0.2,0.04,0.26,13.32
1.1649,17,480,277.13,831.38,0.2,0.04,0.25,13.04
1.1649,17,490,282.9,848.7,0.2,0.04,0.25,12.78
1.1649,17,500,288.68,866.03,0.2,0.03,0.24,12.52
1.1649,17,510,294.45,883.35,0.2,0.03,0.24,12.27
1.1649,17,520,300.22,900.67,0.2,0.03,0.23,12.04
1.1649,17,530,306.0,917.99,0.2,0.03,0.23,11.81
1.1649,17,540,311.77,935.31,0.2,0.03,0.22,11.59
